id,volume,number,zero_number,label,title_official,start_page,official_group_id,db_section_draft_id,verification,source_locator
zero-01,0,,1,第1話,呪いの子,5,,zero,official-metadata,単行本0巻 目次 p.5
zero-02,0,,2,第2話,黒く黒く,59,,zero,official-metadata,単行本0巻 目次 p.59
zero-03,0,,3,第3話,弱者に罰を,105,,zero,official-metadata,単行本0巻 目次 p.105
zero-04,0,,4,最終話,眩しい闇,151,,zero,official-metadata,単行本0巻 目次 p.151
ch-001,1,1,,第1話,両面宿儺,5,official-001-018,cursed-womb,official-metadata,単行本1巻 目次 p.5
ch-002,1,2,,第2話,秘匿死刑,61,official-001-018,cursed-womb,official-metadata,単行本1巻 目次 p.61
ch-003,1,3,,第3話,自分のために,87,official-001-018,cursed-womb,official-metadata,単行本1巻 目次 p.87
ch-004,1,4,,第4話,鉄骨娘,111,official-001-018,cursed-womb,official-metadata,単行本1巻 目次 p.111
ch-005,1,5,,第5話,始まり,131,official-001-018,cursed-womb,official-metadata,単行本1巻 目次 p.131
ch-006,1,6,,第6話,呪胎戴天,151,official-001-018,cursed-womb,official-metadata,単行本1巻 目次 p.151
ch-007,1,7,,第7話,呪胎戴天―弐―,171,official-001-018,cursed-womb,official-metadata,単行本1巻 目次 p.171
ch-008,2,8,,第8話,呪胎戴天―参―,7,official-001-018,cursed-womb,official-metadata,単行本2巻 目次 p.7
ch-009,2,9,,第9話,呪胎戴天―肆―,27,official-001-018,cursed-womb,official-metadata,単行本2巻 目次 p.27
ch-010,2,10,,第10話,雨後,47,official-001-018,cursed-womb,official-metadata,単行本2巻 目次 p.47
ch-011,2,11,,第11話,ある夢想,67,official-001-018,cursed-womb,official-metadata,単行本2巻 目次 p.67
ch-012,2,12,,第12話,邁進,87,official-001-018,cursed-womb,official-metadata,単行本2巻 目次 p.87
ch-013,2,13,,第13話,映画鑑賞,107,official-001-018,cursed-womb,official-metadata,単行本2巻 目次 p.107
ch-014,2,14,,第14話,急襲,127,official-001-018,cursed-womb,official-metadata,単行本2巻 目次 p.127
ch-015,2,15,,第15話,領域,147,official-001-018,cursed-womb,official-metadata,単行本2巻 目次 p.147
ch-016,2,16,,第16話,情,167,official-001-018,cursed-womb,official-metadata,単行本2巻 目次 p.167
ch-017,3,17,,第17話,退屈,7,official-001-018,cursed-womb,official-metadata,単行本3巻 目次 p.7
ch-018,3,18,,第18話,底辺,27,official-001-018,cursed-womb,official-metadata,単行本3巻 目次 p.27
ch-019,3,19,,第19話,幼魚と逆罰,47,official-019-079,junpei,official-metadata,単行本3巻 目次 p.47
ch-020,3,20,,第20話,幼魚と逆罰―弐―,67,official-019-079,junpei,official-metadata,単行本3巻 目次 p.67
ch-021,3,21,,第21話,幼魚と逆罰―参―,87,official-019-079,junpei,official-metadata,単行本3巻 目次 p.87
ch-022,3,22,,第22話,幼魚と逆罰―肆―,107,official-019-079,junpei,official-metadata,単行本3巻 目次 p.107
ch-023,3,23,,第23話,幼魚と逆罰―伍―,127,official-019-079,junpei,official-metadata,単行本3巻 目次 p.127
ch-024,3,24,,第24話,幼魚と逆罰―陸―,149,official-019-079,junpei,official-metadata,単行本3巻 目次 p.149
ch-025,3,25,,第25話,固陋蠢愚,169,official-019-079,junpei,official-metadata,単行本3巻 目次 p.169
ch-026,4,26,,第26話,いつかの君へ,7,official-019-079,junpei,official-metadata,単行本4巻 目次 p.7
ch-027,4,27,,第27話,もしも,27,official-019-079,junpei,official-metadata,単行本4巻 目次 p.27
ch-028,4,28,,第28話,殺してやる,47,official-019-079,junpei,official-metadata,単行本4巻 目次 p.47
ch-029,4,29,,第29話,成長,71,official-019-079,junpei,official-metadata,単行本4巻 目次 p.71
ch-030,4,30,,第30話,我儘,91,official-019-079,junpei,official-metadata,単行本4巻 目次 p.91
ch-031,4,31,,第31話,また明日,111,official-019-079,junpei,official-metadata,単行本4巻 目次 p.111
ch-032,4,32,,第32話,反省,133,official-019-079,goodwill,official-metadata,単行本4巻 目次 p.133
ch-033,4,33,,第33話,京都姉妹校交流会―団体戦⓪―,155,official-019-079,goodwill,official-metadata,単行本4巻 目次 p.155
ch-034,4,34,,第34話,京都姉妹校交流会―団体戦①―,175,official-019-079,goodwill,official-metadata,単行本4巻 目次 p.175
ch-035,5,35,,第35話,京都姉妹校交流会―団体戦②―,7,official-019-079,goodwill,official-metadata,単行本5巻 目次 p.7
ch-036,5,36,,第36話,京都姉妹校交流会―団体戦③―,27,official-019-079,goodwill,official-metadata,単行本5巻 目次 p.27
ch-037,5,37,,第37話,京都姉妹校交流会―団体戦④―,47,official-019-079,goodwill,official-metadata,単行本5巻 目次 p.47
ch-038,5,38,,第38話,京都姉妹校交流会―団体戦⑤―,69,official-019-079,goodwill,official-metadata,単行本5巻 目次 p.69
ch-039,5,39,,第39話,京都姉妹校交流会―団体戦⑥―,89,official-019-079,goodwill,official-metadata,単行本5巻 目次 p.89
ch-040,5,40,,第40話,京都姉妹校交流会―団体戦⑦―,111,official-019-079,goodwill,official-metadata,単行本5巻 目次 p.111
ch-041,5,41,,第41話,京都姉妹校交流会―団体戦⑧―,131,official-019-079,goodwill,official-metadata,単行本5巻 目次 p.131
ch-042,5,42,,第42話,京都姉妹校交流会―団体戦⑨―,151,official-019-079,goodwill,official-metadata,単行本5巻 目次 p.151
ch-043,5,43,,第43話,京都姉妹校交流会―団体戦⑩―,171,official-019-079,goodwill,official-metadata,単行本5巻 目次 p.171
ch-044,6,44,,第44話,京都姉妹校交流会－団体戦⑪－,7,official-019-079,goodwill,official-metadata,単行本6巻 目次 p.7
ch-045,6,45,,第45話,賢者,27,official-019-079,goodwill,official-metadata,単行本6巻 目次 p.27
ch-046,6,46,,第46話,時間,47,official-019-079,goodwill,official-metadata,単行本6巻 目次 p.47
ch-047,6,47,,第47話,呪具,69,official-019-079,goodwill,official-metadata,単行本6巻 目次 p.69
ch-048,6,48,,第48話,黒閃,89,official-019-079,goodwill,official-metadata,単行本6巻 目次 p.89
ch-049,6,49,,第49話,窮屈,109,official-019-079,goodwill,official-metadata,単行本6巻 目次 p.109
ch-050,6,50,,第50話,予感,131,official-019-079,goodwill,official-metadata,単行本6巻 目次 p.131
ch-051,6,51,,第51話,供花,151,official-019-079,goodwill,official-metadata,単行本6巻 目次 p.151
ch-052,6,52,,第52話,規格外,173,official-019-079,goodwill,official-metadata,単行本6巻 目次 p.173
ch-053,7,53,,第53話,完遂,7,official-019-079,goodwill,official-metadata,単行本7巻 目次 p.7
ch-054,7,54,,第54話,呪術甲子園,27,official-019-079,goodwill,official-metadata,単行本7巻 目次 p.27
ch-055,7,55,,第55話,起首雷同,47,official-019-079,origin-obedience,official-metadata,単行本7巻 目次 p.47
ch-056,7,56,,第56話,起首雷同―弐―,67,official-019-079,origin-obedience,official-metadata,単行本7巻 目次 p.67
ch-057,7,57,,第57話,起首雷同―参―,91,official-019-079,origin-obedience,official-metadata,単行本7巻 目次 p.91
ch-058,7,58,,第58話,起首雷同―肆―,111,official-019-079,origin-obedience,official-metadata,単行本7巻 目次 p.111
ch-059,7,59,,第59話,起首雷同―伍―,133,official-019-079,origin-obedience,official-metadata,単行本7巻 目次 p.133
ch-060,7,60,,第60話,起首雷同―陸―,153,official-019-079,origin-obedience,official-metadata,単行本7巻 目次 p.153
ch-061,7,61,,第61話,起首雷同―漆―,173,official-019-079,origin-obedience,official-metadata,単行本7巻 目次 p.173
ch-062,8,62,,第62話,起首雷同―捌―,7,official-019-079,origin-obedience,official-metadata,単行本8巻 目次 p.7
ch-063,8,63,,第63話,共犯,27,official-019-079,origin-obedience,official-metadata,単行本8巻 目次 p.27
ch-064,8,64,,第64話,そういうこと,49,official-019-079,origin-obedience,official-metadata,単行本8巻 目次 p.49
ch-065,8,65,,第65話,懐玉,69,official-019-079,hidden-inventory,official-metadata,単行本8巻 目次 p.69
ch-066,8,66,,第66話,懐玉―弐―,91,official-019-079,hidden-inventory,official-metadata,単行本8巻 目次 p.91
ch-067,8,67,,第67話,懐玉―参―,111,official-019-079,hidden-inventory,official-metadata,単行本8巻 目次 p.111
ch-068,8,68,,第68話,懐玉―肆―,131,official-019-079,hidden-inventory,official-metadata,単行本8巻 目次 p.131
ch-069,8,69,,第69話,懐玉―伍―,151,official-019-079,hidden-inventory,official-metadata,単行本8巻 目次 p.151
ch-070,8,70,,第70話,懐玉―陸―,171,official-019-079,hidden-inventory,official-metadata,単行本8巻 目次 p.171
ch-071,9,71,,第71話,懐玉―漆―,7,official-019-079,hidden-inventory,official-metadata,単行本9巻 目次 p.7
ch-072,9,72,,第72話,懐玉―捌―,27,official-019-079,hidden-inventory,official-metadata,単行本9巻 目次 p.27
ch-073,9,73,,第73話,懐玉―玖―,47,official-019-079,hidden-inventory,official-metadata,単行本9巻 目次 p.47
ch-074,9,74,,第74話,懐玉―拾―,67,official-019-079,hidden-inventory,official-metadata,単行本9巻 目次 p.67
ch-075,9,75,,第75話,懐玉―拾壱―,87,official-019-079,hidden-inventory,official-metadata,単行本9巻 目次 p.87
ch-076,9,76,,第76話,玉折,107,official-019-079,hidden-inventory,official-metadata,単行本9巻 目次 p.107
ch-077,9,77,,第77話,玉折―弐―,127,official-019-079,hidden-inventory,official-metadata,単行本9巻 目次 p.127
ch-078,9,78,,第78話,玉折―参―,149,official-019-079,hidden-inventory,official-metadata,単行本9巻 目次 p.149
ch-079,9,79,,第79話,これからの話,169,official-019-079,hidden-inventory,official-metadata,単行本9巻 目次 p.169
ch-080,10,80,,第80話,宵祭り,7,official-080-136,evening-festival,official-metadata,単行本10巻 目次 p.7
ch-081,10,81,,第81話,宵祭り―弐―,27,official-080-136,evening-festival,official-metadata,単行本10巻 目次 p.27
ch-082,10,82,,第82話,宵祭り―参―,47,official-080-136,evening-festival,official-metadata,単行本10巻 目次 p.47
ch-083,10,83,,第83話,渋谷事変①,67,official-080-136,shibuya,official-metadata,単行本10巻 目次 p.67
ch-084,10,84,,第84話,渋谷事変②,87,official-080-136,shibuya,official-metadata,単行本10巻 目次 p.87
ch-085,10,85,,第85話,渋谷事変③,106,official-080-136,shibuya,official-metadata,単行本10巻 目次 p.106
ch-086,10,86,,第86話,渋谷事変④,129,official-080-136,shibuya,official-metadata,単行本10巻 目次 p.129
ch-087,10,87,,第87話,渋谷事変⑤,149,official-080-136,shibuya,official-metadata,単行本10巻 目次 p.149
ch-088,10,88,,第88話,渋谷事変⑥,169,official-080-136,shibuya,official-metadata,単行本10巻 目次 p.169
ch-089,11,89,,第89話,渋谷事変⑦,7,official-080-136,shibuya,official-metadata,単行本11巻 目次 p.7
ch-090,11,90,,第90話,渋谷事変⑧,29,official-080-136,shibuya,official-metadata,単行本11巻 目次 p.29
ch-091,11,91,,第91話,渋谷事変⑨,51,official-080-136,shibuya,official-metadata,単行本11巻 目次 p.51
ch-092,11,92,,第92話,渋谷事変⑩,71,official-080-136,shibuya,official-metadata,単行本11巻 目次 p.71
ch-093,11,93,,第93話,渋谷事変⑪,91,official-080-136,shibuya,official-metadata,単行本11巻 目次 p.91
ch-094,11,94,,第94話,渋谷事変⑫,111,official-080-136,shibuya,official-metadata,単行本11巻 目次 p.111
ch-095,11,95,,第95話,渋谷事変⑬,131,official-080-136,shibuya,official-metadata,単行本11巻 目次 p.131
ch-096,11,96,,第96話,渋谷事変⑭,151,official-080-136,shibuya,official-metadata,単行本11巻 目次 p.151
ch-097,11,97,,第97話,渋谷事変⑮,171,official-080-136,shibuya,official-metadata,単行本11巻 目次 p.171
ch-098,12,98,,第98話,渋谷事変⑯,7,official-080-136,shibuya,official-metadata,単行本12巻 目次 p.7
ch-099,12,99,,第99話,渋谷事変⑰,27,official-080-136,shibuya,official-metadata,単行本12巻 目次 p.27
ch-100,12,100,,第100話,渋谷事変⑱,47,official-080-136,shibuya,official-metadata,単行本12巻 目次 p.47
ch-101,12,101,,第101話,渋谷事変⑲,69,official-080-136,shibuya,official-metadata,単行本12巻 目次 p.69
ch-102,12,102,,第102話,渋谷事変⑳,89,official-080-136,shibuya,official-metadata,単行本12巻 目次 p.89
ch-103,12,103,,第103話,渋谷事変㉑,111,official-080-136,shibuya,official-metadata,単行本12巻 目次 p.111
ch-104,12,104,,第104話,渋谷事変㉒,131,official-080-136,shibuya,official-metadata,単行本12巻 目次 p.131
ch-105,12,105,,第105話,渋谷事変㉓,151,official-080-136,shibuya,official-metadata,単行本12巻 目次 p.151
ch-106,12,106,,第106話,渋谷事変㉔,171,official-080-136,shibuya,official-metadata,単行本12巻 目次 p.171
ch-107,13,107,,第107話,渋谷事変㉕,7,official-080-136,shibuya,official-metadata,単行本13巻 目次 p.7
ch-108,13,108,,第108話,渋谷事変㉖,31,official-080-136,shibuya,official-metadata,単行本13巻 目次 p.31
ch-109,13,109,,第109話,渋谷事変㉗,51,official-080-136,shibuya,official-metadata,単行本13巻 目次 p.51
ch-110,13,110,,第110話,渋谷事変㉘,71,official-080-136,shibuya,official-metadata,単行本13巻 目次 p.71
ch-111,13,111,,第111話,渋谷事変㉙,91,official-080-136,shibuya,official-metadata,単行本13巻 目次 p.91
ch-112,13,112,,第112話,渋谷事変㉚,113,official-080-136,shibuya,official-metadata,単行本13巻 目次 p.113
ch-113,13,113,,第113話,渋谷事変㉛,133,official-080-136,shibuya,official-metadata,単行本13巻 目次 p.133
ch-114,13,114,,第114話,渋谷事変㉜,153,official-080-136,shibuya,official-metadata,単行本13巻 目次 p.153
ch-115,13,115,,第115話,渋谷事変㉝,173,official-080-136,shibuya,official-metadata,単行本13巻 目次 p.173
ch-116,14,116,,第116話,渋谷事変㉞,7,official-080-136,shibuya,official-metadata,単行本14巻 目次 p.7
ch-117,14,117,,第117話,渋谷事変㉟,27,official-080-136,shibuya,official-metadata,単行本14巻 目次 p.27
ch-118,14,118,,第118話,渋谷事変㊱,49,official-080-136,shibuya,official-metadata,単行本14巻 目次 p.49
ch-119,14,119,,第119話,渋谷事変㊲,69,official-080-136,shibuya,official-metadata,単行本14巻 目次 p.69
ch-120,14,120,,第120話,渋谷事変㊳,89,official-080-136,shibuya,official-metadata,単行本14巻 目次 p.89
ch-121,14,121,,第121話,渋谷事変㊴,109,official-080-136,shibuya,official-metadata,単行本14巻 目次 p.109
ch-122,14,122,,第122話,渋谷事変㊵,129,official-080-136,shibuya,official-metadata,単行本14巻 目次 p.129
ch-123,14,123,,第123話,渋谷事変㊶,149,official-080-136,shibuya,official-metadata,単行本14巻 目次 p.149
ch-124,14,124,,第124話,渋谷事変㊷,173,official-080-136,shibuya,official-metadata,単行本14巻 目次 p.173
ch-125,15,125,,第125話,あの子の話,7,official-080-136,shibuya,official-metadata,単行本15巻 目次 p.7
ch-126,15,126,,第126話,渋谷事変㊸,27,official-080-136,shibuya,official-metadata,単行本15巻 目次 p.27
ch-127,15,127,,第127話,渋谷事変㊹,47,official-080-136,shibuya,official-metadata,単行本15巻 目次 p.47
ch-128,15,128,,第128話,渋谷事変㊺,71,official-080-136,shibuya,official-metadata,単行本15巻 目次 p.71
ch-129,15,129,,第129話,渋谷事変㊻,91,official-080-136,shibuya,official-metadata,単行本15巻 目次 p.91
ch-130,15,130,,第130話,渋谷事変㊼,111,official-080-136,shibuya,official-metadata,単行本15巻 目次 p.111
ch-131,15,131,,第131話,渋谷事変㊽,130,official-080-136,shibuya,official-metadata,単行本15巻 目次 p.130
ch-132,15,132,,第132話,渋谷事変㊾,153,official-080-136,shibuya,official-metadata,単行本15巻 目次 p.153
ch-133,15,133,,第133話,渋谷事変㊿,173,official-080-136,shibuya,official-metadata,単行本15巻 目次 p.173
ch-134,16,134,,第134話,渋谷事変(51),7,official-080-136,shibuya,official-metadata,単行本16巻 目次 p.7
ch-135,16,135,,第135話,渋谷事変(52),27,official-080-136,shibuya,official-metadata,単行本16巻 目次 p.27
ch-136,16,136,,第136話,渋谷事変(53),47,official-080-136,shibuya,official-metadata,単行本16巻 目次 p.47
ch-137,16,137,,第137話,堅白,67,official-137-173,post-shibuya,official-metadata,単行本16巻 目次 p.67
